@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
6777,'2016/09/28 23:46:38:511',29,1.361647,-0.787314,-0.211314,-0.510637,0.697188,-0.510629,-0.123533,0.182073,0.046848,-0.023897,0.234743,0.405739,0.02316,1
6778,'2016/09/28 23:46:38:529',29,1.290637,-0.714938,-0.174778,-0.584782,0.716595,-0.487618,-0.125312,0.238626,-0.003728,0.096674,0.226972,0.353869,0.106015,1
6779,'2016/09/28 23:46:38:545',29,1.278961,-0.737925,-0.143408,-0.549516,0.675858,-0.523522,-0.053804,0.116276,0.061906,0.101214,0.192573,0.368887,0.140651,1
6780,'2016/09/28 23:46:38:567',29,1.23183,-0.664102,-0.223412,-0.525504,0.699302,-0.597246,-0.009724,0.075477,0.051508,0.040831,0.207187,0.343042,0.079625,1
6781,'2016/09/28 23:46:38:578',29,1.201153,-0.73843,-0.160181,-0.438271,0.584862,-0.471777,-0.067652,0.119098,0.006058,0.144351,0.190398,0.336376,0.154846,1
6782,'2016/09/28 23:46:38:595',29,1.280084,-0.779036,-0.092243,-0.485851,0.626542,-0.422434,-0.106449,0.12262,0.017609,0.145814,0.189113,0.355808,0.233294,1
6783,'2016/09/28 23:46:38:612',29,1.317054,-0.808705,-0.077259,-0.499994,0.586698,-0.40531,-0.113159,0.043213,0.06253,0.128313,0.128737,0.302739,0.205876,1
6784,'2016/09/28 23:46:38:637',29,1.282275,-0.791999,-0.132543,-0.508553,0.665529,-0.511467,-0.003452,0.038726,0.143328,0.054999,0.185904,0.418473,0.07865,1
6785,'2016/09/28 23:46:38:644',29,1.282275,-0.791999,-0.132543,-0.508553,0.665529,-0.511467,-0.003452,0.038726,0.143328,0.054999,0.185904,0.418473,0.07865,1
6786,'2016/09/28 23:46:38:662',29,1.283546,-0.836948,-0.080005,-0.641742,0.793121,-0.549614,-0.083992,0.145874,0.022748,0.096326,0.152778,0.404307,0.10901,1
6787,'2016/09/28 23:46:38:678',29,1.247085,-0.844074,-0.140386,-0.478141,0.569644,-0.496796,-0.03429,0.026501,0.080114,0.081777,0.171673,0.313016,0.139047,1
6788,'2016/09/28 23:46:38:695',29,1.258718,-0.834885,-0.097622,-0.47893,0.675754,-0.556983,0.082084,-0.05329,0.134605,0.141627,0.158308,0.369462,0.163035,1
6789,'2016/09/28 23:46:38:711',29,1.198573,-0.69511,-0.102941,-0.550976,0.720151,-0.482493,-0.038272,0.027995,0.083669,0.123965,0.153345,0.369257,0.092869,1
6790,'2016/09/28 23:46:38:728',29,1.277656,-0.792521,-0.174627,-0.456539,0.62686,-0.479222,-0.003536,-0.049575,0.155295,0.056819,0.185727,0.350879,0.152538,1
6791,'2016/09/28 23:46:38:745',29,1.257761,-0.780598,-0.134175,-0.537857,0.67466,-0.562443,0.054967,-0.04515,0.076371,0.16107,0.148713,0.328591,0.146261,1
6792,'2016/09/28 23:46:38:761',29,1.330913,-0.813864,-0.175303,-0.490011,0.631997,-0.473363,-0.043248,0.057579,0.07885,0.164806,0.140426,0.389877,0.093001,1
6793,'2016/09/28 23:46:38:778',29,1.376692,-0.744689,-0.224404,-0.529366,0.710128,-0.52192,-0.049323,0.022701,0.136532,0.108997,0.149871,0.395585,0.079424,1
6794,'2016/09/28 23:46:38:794',29,1.257472,-0.733462,-0.178275,-0.522273,0.609857,-0.457031,-0.079729,0.031748,0.035855,0.232584,0.164741,0.229708,0.243969,1
6795,'2016/09/28 23:46:38:811',29,1.276536,-0.803309,-0.07235,-0.569983,0.684318,-0.505655,-0.059524,0.020093,0.067081,0.17711,0.163351,0.317397,0.148536,1
6796,'2016/09/28 23:46:38:829',29,1.266031,-0.67317,-0.16798,-0.481166,0.726663,-0.553091,-0.032777,0.0239,0.067205,0.12903,0.172632,0.318335,0.15435,1
6797,'2016/09/28 23:46:38:845',29,1.287626,-0.76693,-0.115702,-0.526938,0.733469,-0.496047,-0.095766,0.079929,0.041057,0.151245,0.156224,0.398955,0.120137,1
6798,'2016/09/28 23:46:38:862',29,1.344169,-0.83721,-0.175154,-0.517433,0.730469,-0.575993,-0.101638,0.132275,0.029529,0.098958,0.198874,0.371549,0.133451,1
6799,'2016/09/28 23:46:38:878',29,1.366311,-0.843142,-0.17631,-0.484401,0.624403,-0.467824,-0.084436,0.001798,0.13932,0.088657,0.146336,0.380571,0.07553,1
6800,'2016/09/28 23:46:38:896',29,1.340552,-0.781551,-0.210004,-0.433406,0.634255,-0.531644,-0.025098,0.047721,0.088246,0.105803,0.215989,0.318188,0.070137,1
6801,'2016/09/28 23:46:38:912',29,1.295581,-0.804925,-0.101981,-0.607832,0.713486,-0.482535,-0.126724,0.042148,0.17714,0.110542,0.173202,0.368369,0.135214,1
6802,'2016/09/28 23:46:38:929',29,1.263686,-0.755274,-0.161361,-0.559897,0.704282,-0.553412,-0.080678,0.028272,0.122327,0.12806,0.156593,0.340118,0.144318,1
6803,'2016/09/28 23:46:38:945',29,1.313857,-0.747551,-0.174562,-0.526697,0.745761,-0.587552,-0.094482,0.065033,0.077658,0.100452,0.202038,0.249935,0.17455,1
6804,'2016/09/28 23:46:38:962',29,1.254201,-0.688462,-0.142704,-0.528791,0.754785,-0.575836,-0.035119,-0.012688,0.149571,0.121511,0.139061,0.383841,0.125835,1
6805,'2016/09/28 23:46:38:978',29,1.324171,-0.73387,-0.140004,-0.543612,0.762417,-0.533735,-0.158926,0.110626,0.093527,0.072337,0.221371,0.310461,0.150336,1
6806,'2016/09/28 23:46:38:995',29,1.328582,-0.729017,-0.240661,-0.478034,0.705052,-0.557088,-0.116444,0.070224,0.108165,0.068148,0.213537,0.323474,0.06153,1
6807,'2016/09/28 23:46:39:011',29,1.288678,-0.733308,-0.170017,-0.521578,0.721028,-0.601058,-0.006257,0.023863,0.086256,0.147153,0.102946,0.395882,0.046969,1
